"name","contrast","estimate","SE","df","t.ratio","p.value"
"C20:4n6 arachidonic acid (AA)","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",-0.17,0.09,63,-1.9,"0.414"
"C20:5n3 eicosapentaenoic acid","(Age13 Spring/Summer) - (Age32 Spring/Summer)",-0.33,0.1,63,-3.25,"0.022"
"C20:5n3 eicosapentaenoic acid","(Age13 Spring/Summer) - (Age54 Spring/Summer)",-0.7,0.1,63,-6.85,"<0.001"
"C20:5n3 eicosapentaenoic acid","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",0.23,0.1,63,2.2,"0.253"
"C20:5n3 eicosapentaenoic acid","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.12,0.1,63,1.22,"0.828"
"C20:5n3 eicosapentaenoic acid","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.14,0.1,63,1.36,"0.751"
"C20:5n3 eicosapentaenoic acid","(Age32 Spring/Summer) - (Age54 Spring/Summer)",-0.37,0.1,63,-3.61,"0.008"
"C20:5n3 eicosapentaenoic acid","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",0.56,0.1,63,5.44,"<0.001"
"C20:5n3 eicosapentaenoic acid","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",0.46,0.1,63,4.46,"<0.001"
"C20:5n3 eicosapentaenoic acid","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",0.47,0.1,63,4.6,"<0.001"
"C20:5n3 eicosapentaenoic acid","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",0.93,0.1,63,9.05,"<0.001"
"C20:5n3 eicosapentaenoic acid","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",0.83,0.1,63,8.07,"<0.001"
"C20:5n3 eicosapentaenoic acid","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",0.84,0.1,63,8.21,"<0.001"
"C20:5n3 eicosapentaenoic acid","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",-0.1,0.1,63,-0.98,"0.922"
"C20:5n3 eicosapentaenoic acid","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",-0.09,0.1,63,-0.84,"0.959"
"C20:5n3 eicosapentaenoic acid","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",0.01,0.1,63,0.14,">0.999"
"C22:0 behenic acid","(Age13 Spring/Summer) - (Age32 Spring/Summer)",0.02,0.04,63,0.55,"0.994"
"C22:0 behenic acid","(Age13 Spring/Summer) - (Age54 Spring/Summer)",-0.08,0.04,63,-2.23,"0.240"
"C22:0 behenic acid","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",0.21,0.04,63,5.83,"<0.001"
"C22:0 behenic acid","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.27,0.04,63,7.45,"<0.001"
"C22:0 behenic acid","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.27,0.04,63,7.55,"<0.001"
"C22:0 behenic acid","(Age32 Spring/Summer) - (Age54 Spring/Summer)",-0.1,0.04,63,-2.77,"0.075"
"C22:0 behenic acid","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",0.19,0.04,63,5.29,"<0.001"
"C22:0 behenic acid","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",0.25,0.04,63,6.9,"<0.001"
"C22:0 behenic acid","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",0.25,0.04,63,7,"<0.001"
"C22:0 behenic acid","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",0.29,0.04,63,8.06,"<0.001"
"C22:0 behenic acid","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",0.34,0.04,63,9.67,"<0.001"
"C22:0 behenic acid","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",0.35,0.04,63,9.77,"<0.001"
"C22:0 behenic acid","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",0.06,0.04,63,1.62,"0.591"
"C22:0 behenic acid","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",0.06,0.04,63,1.72,"0.527"
"C22:0 behenic acid","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",0,0.04,63,0.1,">0.999"
"C22:5n3 docosapentaenoic acid (DPA)","(Age13 Spring/Summer) - (Age32 Spring/Summer)",-0.04,0.13,63,-0.27,">0.999"
"C22:5n3 docosapentaenoic acid (DPA)","(Age13 Spring/Summer) - (Age54 Spring/Summer)",-0.33,0.13,63,-2.49,"0.142"
"C22:5n3 docosapentaenoic acid (DPA)","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",-0.53,0.13,63,-3.95,"0.003"
"C22:5n3 docosapentaenoic acid (DPA)","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.07,0.13,63,0.54,"0.994"
"C22:5n3 docosapentaenoic acid (DPA)","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.11,0.13,63,0.8,"0.967"
"C22:5n3 docosapentaenoic acid (DPA)","(Age32 Spring/Summer) - (Age54 Spring/Summer)",-0.3,0.13,63,-2.22,"0.242"
"C22:5n3 docosapentaenoic acid (DPA)","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",-0.49,0.13,63,-3.68,"0.006"
"C22:5n3 docosapentaenoic acid (DPA)","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",0.11,0.13,63,0.81,"0.964"
"C22:5n3 docosapentaenoic acid (DPA)","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",0.14,0.13,63,1.07,"0.891"
"C22:5n3 docosapentaenoic acid (DPA)","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",-0.19,0.13,63,-1.46,"0.692"
"C22:5n3 docosapentaenoic acid (DPA)","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",0.4,0.13,63,3.04,"0.039"
"C22:5n3 docosapentaenoic acid (DPA)","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",0.44,0.13,63,3.29,"0.019"
"C22:5n3 docosapentaenoic acid (DPA)","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",0.6,0.13,63,4.49,"<0.001"
"C22:5n3 docosapentaenoic acid (DPA)","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",0.63,0.13,63,4.75,"<0.001"
"C22:5n3 docosapentaenoic acid (DPA)","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",0.03,0.13,63,0.26,">0.999"
"C22:6n3 docosahexaenoic acid (DHA)","(Age13 Spring/Summer) - (Age32 Spring/Summer)",-0.5,0.1,63,-4.75,"<0.001"
"C22:6n3 docosahexaenoic acid (DHA)","(Age13 Spring/Summer) - (Age54 Spring/Summer)",-1.25,0.1,63,-11.9,"<0.001"
"C22:6n3 docosahexaenoic acid (DHA)","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",0.39,0.1,63,3.73,"0.005"
"C22:6n3 docosahexaenoic acid (DHA)","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.21,0.1,63,2.04,"0.330"
"C22:6n3 docosahexaenoic acid (DHA)","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.26,0.1,63,2.49,"0.143"
"C22:6n3 docosahexaenoic acid (DHA)","(Age32 Spring/Summer) - (Age54 Spring/Summer)",-0.75,0.1,63,-7.14,"<0.001"
"C22:6n3 docosahexaenoic acid (DHA)","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",0.89,0.1,63,8.48,"<0.001"
"C22:6n3 docosahexaenoic acid (DHA)","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",0.71,0.1,63,6.8,"<0.001"
"C22:6n3 docosahexaenoic acid (DHA)","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",0.76,0.1,63,7.24,"<0.001"
"C22:6n3 docosahexaenoic acid (DHA)","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",1.64,0.1,63,15.62,"<0.001"
"C22:6n3 docosahexaenoic acid (DHA)","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",1.46,0.1,63,13.94,"<0.001"
"C22:6n3 docosahexaenoic acid (DHA)","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",1.51,0.1,63,14.39,"<0.001"
"C22:6n3 docosahexaenoic acid (DHA)","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",-0.18,0.1,63,-1.68,"0.549"
"C22:6n3 docosahexaenoic acid (DHA)","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",-0.13,0.1,63,-1.24,"0.816"
"C22:6n3 docosahexaenoic acid (DHA)","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",0.05,0.1,63,0.44,"0.998"
"C24:0 lignoceric acid","(Age13 Spring/Summer) - (Age32 Spring/Summer)",0.19,0.04,63,5.44,"<0.001"
"C24:0 lignoceric acid","(Age13 Spring/Summer) - (Age54 Spring/Summer)",0.25,0.04,63,7.13,"<0.001"
"C24:0 lignoceric acid","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",-0.24,0.04,63,-6.73,"<0.001"
"C24:0 lignoceric acid","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.21,0.04,63,6.02,"<0.001"
"C24:0 lignoceric acid","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.22,0.04,63,6.28,"<0.001"
"C24:0 lignoceric acid","(Age32 Spring/Summer) - (Age54 Spring/Summer)",0.06,0.04,63,1.69,"0.543"
"C24:0 lignoceric acid","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",-0.43,0.04,63,-12.17,"<0.001"
"C24:0 lignoceric acid","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",0.02,0.04,63,0.58,"0.992"
"C24:0 lignoceric acid","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",0.03,0.04,63,0.84,"0.960"
"C24:0 lignoceric acid","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",-0.49,0.04,63,-13.86,"<0.001"
"C24:0 lignoceric acid","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",-0.04,0.04,63,-1.11,"0.874"
"C24:0 lignoceric acid","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",-0.03,0.04,63,-0.85,"0.956"
"C24:0 lignoceric acid","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",0.45,0.04,63,12.75,"<0.001"
"C24:0 lignoceric acid","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",0.46,0.04,63,13.01,"<0.001"
"C24:0 lignoceric acid","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",0.01,0.04,63,0.26,">0.999"
"∑Saturated fatty acids SFA","(Age13 Spring/Summer) - (Age32 Spring/Summer)",0.14,0.03,63,4.95,"<0.001"
"∑Saturated fatty acids SFA","(Age13 Spring/Summer) - (Age54 Spring/Summer)",0.32,0.03,63,11.13,"<0.001"
"∑Saturated fatty acids SFA","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",0.04,0.03,63,1.21,"0.831"
"∑Saturated fatty acids SFA","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.08,0.03,63,2.75,"0.079"
"∑Saturated fatty acids SFA","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.06,0.03,63,1.95,"0.380"
"∑Saturated fatty acids SFA","(Age32 Spring/Summer) - (Age54 Spring/Summer)",0.18,0.03,63,6.18,"<0.001"
"∑Saturated fatty acids SFA","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",-0.11,0.03,63,-3.74,"0.005"
"∑Saturated fatty acids SFA","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",-0.06,0.03,63,-2.2,"0.254"
"∑Saturated fatty acids SFA","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",-0.09,0.03,63,-3,"0.043"
"∑Saturated fatty acids SFA","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",-0.29,0.03,63,-9.92,"<0.001"
"∑Saturated fatty acids SFA","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",-0.24,0.03,63,-8.37,"<0.001"
"∑Saturated fatty acids SFA","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",-0.27,0.03,63,-9.17,"<0.001"
"∑Saturated fatty acids SFA","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",0.05,0.03,63,1.55,"0.636"
"∑Saturated fatty acids SFA","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",0.02,0.03,63,0.75,"0.975"
"∑Saturated fatty acids SFA","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",-0.02,0.03,63,-0.8,"0.966"
"∑Mono-unsaturated fatty acids MUFA","(Age13 Spring/Summer) - (Age32 Spring/Summer)",0.1,0.03,63,2.86,"0.061"
"∑Mono-unsaturated fatty acids MUFA","(Age13 Spring/Summer) - (Age54 Spring/Summer)",0.3,0.03,63,8.86,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",-0.09,0.03,63,-2.74,"0.082"
"∑Mono-unsaturated fatty acids MUFA","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",-0.37,0.03,63,-10.77,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",-0.4,0.03,63,-11.7,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age32 Spring/Summer) - (Age54 Spring/Summer)",0.21,0.03,63,5.99,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",-0.19,0.03,63,-5.6,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",-0.47,0.03,63,-13.63,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",-0.5,0.03,63,-14.56,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",-0.4,0.03,63,-11.59,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",-0.68,0.03,63,-19.63,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",-0.71,0.03,63,-20.56,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",-0.28,0.03,63,-8.03,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",-0.31,0.03,63,-8.96,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",-0.03,0.03,63,-0.93,"0.937"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age13 Spring/Summer) - (Age32 Spring/Summer)",-0.22,0.1,63,-2.22,"0.244"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age13 Spring/Summer) - (Age54 Spring/Summer)",-0.54,0.1,63,-5.4,"<0.001"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",0.27,0.1,63,2.68,"0.093"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.34,0.1,63,3.43,"0.013"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.36,0.1,63,3.62,"0.007"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age32 Spring/Summer) - (Age54 Spring/Summer)",-0.32,0.1,63,-3.18,"0.026"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",0.49,0.1,63,4.9,"<0.001"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",0.56,0.1,63,5.65,"<0.001"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",0.58,0.1,63,5.84,"<0.001"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",0.8,0.1,63,8.08,"<0.001"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",0.88,0.1,63,8.83,"<0.001"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",0.9,0.1,63,9.03,"<0.001"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",0.07,0.1,63,0.75,"0.974"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",0.09,0.1,63,0.94,"0.933"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",0.02,0.1,63,0.19,">0.999"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age13 Spring/Summer) - (Age32 Spring/Summer)",-0.22,0.11,63,-1.98,"0.364"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age13 Spring/Summer) - (Age54 Spring/Summer)",-0.62,0.11,63,-5.54,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",0.42,0.11,63,3.71,"0.006"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.39,0.11,63,3.48,"0.011"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.32,0.11,63,2.88,"0.058"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age32 Spring/Summer) - (Age54 Spring/Summer)",-0.4,0.11,63,-3.56,"0.009"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",0.64,0.11,63,5.69,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",0.62,0.11,63,5.46,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",0.55,0.11,63,4.86,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",1.04,0.11,63,9.24,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",1.02,0.11,63,9.02,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",0.95,0.11,63,8.42,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",-0.03,0.11,63,-0.22,">0.999"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",-0.09,0.11,63,-0.82,"0.962"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",-0.07,0.11,63,-0.6,"0.991"
"Fat Content g/100g","(Age13 Spring/Summer) - (Age32 Spring/Summer)",0.02,0.04,63,0.58,"0.992"
"Fat Content g/100g","(Age13 Spring/Summer) - (Age54 Spring/Summer)",0.07,0.04,63,1.89,"0.416"
"Fat Content g/100g","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",0.44,0.04,63,12.12,"<0.001"
"Fat Content g/100g","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",-0.34,0.04,63,-9.42,"<0.001"
"Fat Content g/100g","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",-0.36,0.04,63,-9.8,"<0.001"
"Fat Content g/100g","(Age32 Spring/Summer) - (Age54 Spring/Summer)",0.05,0.04,63,1.31,"0.777"
"Fat Content g/100g","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",0.42,0.04,63,11.53,"<0.001"
"Fat Content g/100g","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",-0.36,0.04,63,-10,"<0.001"
"Fat Content g/100g","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",-0.38,0.04,63,-10.38,"<0.001"
"Fat Content g/100g","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",0.37,0.04,63,10.22,"<0.001"
"Fat Content g/100g","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",-0.41,0.04,63,-11.31,"<0.001"
"Fat Content g/100g","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",-0.42,0.04,63,-11.69,"<0.001"
"Fat Content g/100g","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",-0.78,0.04,63,-21.53,"<0.001"
"Fat Content g/100g","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",-0.8,0.04,63,-21.92,"<0.001"
"Fat Content g/100g","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",-0.01,0.04,63,-0.38,"0.999"
